LABELS
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Rename Method
Extract Method
Rename Method
Extract Method
Inline Method
Move Class
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Move Class
Move Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Move Method
Extract Method
Extract Method
Rename Method
Extract Method
Inline Method
Extract Method
Rename Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Rename Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Rename Method
Extract Method
Inline Method
Extract Method
Rename Method
Extract Method
Extract Method
Move Class
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Rename Method
Move Class
Rename Method
Rename Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Rename Method
Rename Method
Extract Method
Rename Method
Inline Method
Move Method
Move Class
Extract Method
Extract Method
Rename Method
Extract Method
Rename Method
Rename Method
Inline Method
Extract Method
Inline Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Inline Method
Extract Method
Extract Method
Rename Method
Rename Method
Rename Method
Extract Method
Move Method
Extract Method
Extract Method
Move Class
Rename Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Rename Method
Move Class
Move Class
Extract Method
Move Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Rename Method
Extract Method
Extract Method
Rename Class
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Move Class
Extract Method
Rename Method
Extract Method
Rename Method
Extract Method
Rename Method
Rename Method
Move Class
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Move Method
Inline Method
Extract Method
Extract Method
Rename Method
Rename Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Rename Method
Move Class
Move Class
Inline Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Class
Extract Method
Extract Method
Rename Class
Extract Method
Rename Method
Move Method
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Move Class
Move Class
Rename Method
Extract Method
Move Class
Rename Method
Extract Method
Extract Method
Rename Method
Inline Method
Extract Method
Rename Class
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Inline Method
Rename Method
Extract Method
Extract Method
Extract Method
Rename Method
Rename Method
Extract Method
Move Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Class
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Rename Method
Rename Method
Rename Class
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Inline Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Move Class
Rename Method
Extract Method
Inline Method
Rename Method
Extract Method
Inline Method
Rename Method
Extract Method
Extract Method
Extract Method
Extract Method
Move Class
Move Class
Extract Method
Inline Method
Rename Method
Extract Method
Extract Method
Rename Class
Extract Method
Move Class
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Rename Class
Extract Method
Extract Method
Rename Method
Extract Method
Extract Method
Extract Method
Rename Method
